date_id,day,month,year
2025-11-17,17,11,2025
2025-08-04,4,8,2025
2025-08-15,15,8,2025
2026-01-24,24,1,2026
2025-09-20,20,9,2025
2025-12-19,19,12,2025
2025-10-29,29,10,2025
2025-12-14,14,12,2025
2025-11-19,19,11,2025
2025-12-08,8,12,2025
2025-10-18,18,10,2025
2025-12-01,1,12,2025
2025-10-14,14,10,2025
2025-12-04,4,12,2025
2025-12-26,26,12,2025
2025-08-16,16,8,2025
2026-01-25,25,1,2026
2025-09-18,18,9,2025
2025-10-25,25,10,2025
2025-12-07,7,12,2025
2025-08-05,5,8,2025
2026-01-06,6,1,2026
2025-12-22,22,12,2025
2026-01-16,16,1,2026
2025-10-22,22,10,2025
2025-09-22,22,9,2025
2025-08-24,24,8,2025
2025-10-06,6,10,2025
2025-08-13,13,8,2025
2025-11-04,4,11,2025
2025-08-09,9,8,2025
2025-11-07,7,11,2025
2026-01-10,10,1,2026
2026-01-14,14,1,2026
2025-09-13,13,9,2025
2025-11-21,21,11,2025
2025-08-19,19,8,2025
2025-09-01,1,9,2025
2025-08-20,20,8,2025
2025-12-10,10,12,2025
2025-10-30,30,10,2025
2025-11-22,22,11,2025
2025-11-05,5,11,2025
2025-12-20,20,12,2025
2025-09-24,24,9,2025
2025-08-17,17,8,2025
2025-11-18,18,11,2025
2025-08-27,27,8,2025
2025-10-17,17,10,2025
2025-12-02,2,12,2025
2025-11-12,12,11,2025
2025-08-06,6,8,2025
2025-09-21,21,9,2025
2026-01-08,8,1,2026
2025-12-29,29,12,2025
2025-09-27,27,9,2025
2025-09-17,17,9,2025
2025-10-21,21,10,2025
2025-08-12,12,8,2025
2025-10-05,5,10,2025
2025-10-23,23,10,2025
2025-09-25,25,9,2025
2025-09-16,16,9,2025
2026-01-05,5,1,2026
2025-08-11,11,8,2025
2025-08-03,3,8,2025
2025-11-26,26,11,2025
2025-08-26,26,8,2025
2026-01-26,26,1,2026
2026-01-01,1,1,2026
2026-01-20,20,1,2026
2025-12-31,31,12,2025
2025-08-18,18,8,2025
2025-12-30,30,12,2025
2025-09-11,11,9,2025
2025-10-20,20,10,2025
2025-12-13,13,12,2025
2025-11-25,25,11,2025
